id,name_uz,name_ru,name_en
5775,Elektr choynaklar va termopotlar,Электрочайники и термопоты,Electric kettles and thermopots
9178,Kanselyariya mahsulotlari,Канцелярские товары,Stationery products
8051,Yuvish suyuqliklari,Моющие жидкости,Washing liquids
6726,Niqoblar,Маски,Masks
6745,Tozalash va yuvish,Чистка и стирка,Cleaning and washing
6766,Patchalar,Патчи,Patches
6701,Makiyaj uchun aksessuarlar,Аксессуары для макияжа,Makeup accessories
6969,Ogʻiz boʻshligʻi gigiyenasi,Гигиена полости рта,Oral hygiene
7570,Qurilish va taʼmirlash,Строительство и ремонт,Construction and repair
8600,Velosipedlar,Велосипеды,Bicycles
8096,Shina va disklarni parvarish qilish,Уход за шинами и дисками,Tire and wheel care
8005,Asboblar va uskunalar,Инструменты и оборудование,Tools and equipment
7865,Avtotovush,Автомобильная аудиосистема,Car audio
7758,Elektr asboblar,Электроинструменты,Electrical tools
6808,Sartarosh uchun professional asboblar,Профессиональные инструменты для парикмахеров,Professional tools for hairdressers
5297,Pristavkalar,Консоли,Consoles
8012,Avtomobil kompressorlari,Автомобильные компрессоры,Car compressors
5665,Suv uchun kulerlar va aksessuarlar,Кулеры для воды и аксессуары,Water coolers and accessories
6725,Yuz parvarishi,Уход за лицом,Facial care
5714,Tikuv mashinalari va aksessuarlari,Швейные машины и принадлежности,Sewing machines and accessories
8165,Bolalar mahsulotlari,Товары для детей,Children's products
5743,Epilyatorlar va aksessuarlar,Эпиляторы и аксессуары,Epilators and accessories
5466,Ofis jihozlari,Офисное оборудование,Office equipment
9600,Antikvar kitoblar,Антикварные книги,Antique books
8584,Velosport,Велоспорт,Cycling
5251,Kabellar uchun tutqichlar,Кабельные зажимы,Cable grips
5722,Goʻzallik uchun texnika,Косметическое оборудование,Beauty equipment
9988,Yuqori bosimli moykalar va aksessuarlar,Мойки высокого давления и аксессуары,High pressure washers and accessories
6785,Boʻyash va kimyoviy jingalak qilish,Окрашивание и завивка,Dyeing and perming
7882,Avtomagnitolalar,Автомобильные стереосистемы,Car stereos
7240,Choynaklar va qahva idishlari,Чайники и кофейники,Teapots and coffee pots
9104,Maishiy kimyoviy moddalar,Бытовая химия,Household chemicals
7824,Avtomobil ehtiyot qismlari,Автозапчасти,Car spare parts
6813,Tana parvarishi,Уход за телом,Body care
9290,Kalkulyatorlar,Калькуляторы,Calculators
5707,Dazmollar va bugʻlagichlar,Утюги и отпариватели,Irons and steamers
8093,Shinalar va disklar,Шины и диски,Tires and wheels
5318,Kompyuter texnikalari uchun butlovchi qismlar,Комплектующие для компьютерной техники,Components for computer equipment
7863,Avto chiroqlar,Автомобильные фары,Car lights
7390,Vanna uchun aksessuarlar,Аксессуары для ванной комнаты,Bathroom accessories
5754,Maydalash va aralashtirish,Измельчение и смешивание,Grinding and mixing
5521,Proyektorlar va aksessuarlar,Проекторы и аксессуары,Projectors and accessories
6770,Sochlar parvarishi,Уход за волосами,Hair care
7571,Qoʻl asboblari va jihozlari,Ручной инструмент и оборудование,Hand tools and equipment
9139,Hasharotlar va kemiruvchilarga qarshi vositalar,Средства борьбы с насекомыми и грызунами,Insect and rodent control products
5780,Boshqa oshxona texnikalari,Другая кухонная техника,Other kitchen appliances
7757,Asboblar,Инструменты,Tools
5764,Qovurish va pishirish uskunalari,Оборудование для жарки и приготовления пищи,Frying and cooking equipment
7572,Klyuchlar,Ключи,Keys
6671,Koʻzlar,Глаза,Eyes
7609,Urish-dastakli asboblari,Ударные инструменты,Percussion instruments
7814,Pnevmouskunalar,Пневматическое оборудование,Pneumatic equipment
7212,Likopchalar va idishlar,Тарелки и миски,Plates and bowls
9803,Publitsistika,Журналистика,Journalism
9522,Tovoqchalar,Подносы,Trays
8066,Avtomobilni parvarishi,Уход за автомобилем,Car care
8047,Prisadkalar va qoʻshimchalar,Прилагательные и наречия,Adjectives and adverbs
9503,Mushuklar uchun,Для кошек,For cats
7946,Jildlar va organayzerlar,Папки и органайзеры,Folders and organizers
8875,Fitnes,Фитнес,Fitness
7790,Oʻlchov asboblari,Измерительные приборы,Measuring instruments
8849,Fitnes va yoga,Фитнес и йога,Fitness and yoga
8836,Kardio trenajorlar,Кардиотренажеры,Cardio machines
5646,Isitgichlar,Обогреватели,Heaters
8073,Avtomobil aromatizatorlari,Освежители воздуха для автомобилей,Car air fresheners
5568,Videokuzatuv,Видеонаблюдение,Video surveillance
7209,Termoslar va termo krujkalar,Термосы и термокружки,Thermoses and thermo mugs
5330,Kompyuterning tashqi qurilmalari,Компьютерная периферия,Computer peripherals
5419,Noutbuk uchun aksessuarlar,Аксессуары для ноутбуков,Laptop accessories
8563,Tozalash uchun asboblar,Инструменты для чистки,Cleaning tools
10148,Planshet kichikina6212222222222222222222,Планшет маленький62122222222222222222222,The tablet is small6212222222222222222222
7143,Oshxona buyumlari,Кухонные принадлежности,Kitchenware
6491,Erkaklar aksessuarlari,Мужские аксессуары,Men's accessories
6522,"Hamyonlar, kalit solgichlar va tashrif qogʻozi uchun karmonchalar","Кошельки, ключницы и визитницы","Wallets, key holders, and business card holders"
5815,Kiyim,Одежда,Clothing
6035,Erkaklar kiyimi,Мужская одежда,Men's clothing
6036,Futbolkalar va polo,Футболки и поло,T-shirts and polos
6176,Oʻgʻil bolalar uchun kiyimlar,Одежда для мальчиков,Clothes for boys
6156,Bolalar kiyimi,Детская одежда,Children's clothing
5896,Sport kiyimlari,Спортивная одежда,Sportswear
6074,Sport kiyimlari,Спортивная одежда,Sportswear
5816,Ayollar kiyimi,Женская одежда,Women's clothing
5846,Futbolkalar va polo,Футболки и поло,T-shirts and polos
5551,Aqlli soatlar,Умные часы,Smart watches
5541,Aqlli soatlar va fitnes bilaguzuklar,Умные часы и фитнес-браслеты,Smart watches and fitness bracelets
10146,Planshet kichikina432321,Планшет маленький432321,Tablet small432321
10145,Planshet kichikina621222222222222222222,Планшет маленький6212222222222222222222,The tablet is small621222222222222222222
10144,Planshet kichikina62122222222222222222,Планшет маленький62122222222222222222,The tablet is small6212222222222222222
10143,Planshet kichikina6212222222222222222,Планшет маленький6212222222222222222,The tablet is small621222222222222222
10142,Planshet kichikina621222222222222222,Планшет маленький621222222222222222,The tablet is small62122222222222222
10141,Planshet kichikina62122222222222222,Планшет маленький6212222222222222,The tablet is small6212222222222222
10140,Planshet kichikina6212222222222222,Планшет маленький621222222222222,The tablet is small621222222222222
10139,Planshet kichikina621222222222222,Планшет маленький62122222222222,The tablet is small62122222222222
10138,Planshet kichikina62122222222222,Планшет маленький62122222222222,The tablet is small62122222222222
10137,Planshet kichikina6212222222222,Планшет маленький6212222222222,The tablet is small6212222222222
10136,Planshet kichikina621222222222,Планшет маленький621222222222,The tablet is small621222222222
10135,Planshet kichikina62122222222,Планшет маленький62122222222,The tablet is small62122222222
10134,Planshet kichikina6212222222,Планшет маленький6212222222,The tablet is small6212222222
10133,Planshet kichikina621222222,Планшет маленький621222222,Tablet small621222222
10132,Planshet kichikina62122222,Планшет маленький62122222,Tablet small62122222
10131,Planshet kichikina6212222,Планшет маленький6212222,Tablet small6212222
10130,Planshet kichikina621222,Планшет маленький621222,Tablet small621222
10129,Planshet kichikina62122,Планшет маленький62122,Tablet small62122
8558,Basseynlar,Бассейны,Swimming pools
5535,Raqamli va sun'iy yo'ldosh TV,Цифровое и спутниковое телевидение,Digital and satellite TV
5549,Aqlli gadjetlar,Умные гаджеты,Smart gadgets
5452,Aksessuarlar va ofis jihozlari parvarishi,Аксессуары и обслуживание офисной техники,Accessories and office equipment maintenance
10127,Kosmetika va pardoz uz,Косметика и макияж,Cosmetics and make-up
9978,Bogʻ mebellari va dekoratsiyasi,Садовая мебель и украшения,Garden furniture and decorations
8899,Oziq-ovqat mahsulotlari,Пищевые продукты,Food products
9441,Hayvonlar uchun mahsulotlari,Товары для животных,Products for animals
10121,test222,тест222,test222
10112,BaseTestUz2,BaseTestUz2,BaseTestUz2
10066,Reabilitatsiya uchun subsidiyalangan mahsulotlar,Субсидированные продукты для реабилитации,Subsidized products for rehabilitation
10115,sichqonchalar,мыши,mice
10114,Kompyuter aksesuarlari,Компьютерные аксессуары,Computer accessories
8355,Xobbi va ijod,Хобби и творчество,Hobbies and creativity
8391,Stol va karta oʻyinlari,Настольные и карточные игры,Board and card games
10116,klaviaturalar,клавиатуры,keyboards
6348,Oʻgʻil bolalar uchun poyabzal,Обувь для мальчиков,Shoes for boys
6658,Diniy aksessuarlar,Религиозные принадлежности,Religious accessories
6312,Qizlar uchun poyabzal,Обувь для девочек,Shoes for girls
6602,Qizlar uchun aksessuarlar,Аксессуары для девочек,Accessories for girls
5686,Maishiy texnika uchun boshqa aksessuarlar va ehtiyot qismlar,Прочие аксессуары и запчасти для бытовой техники,Other accessories and spare parts for household appliances
6556,Qizlar uchun aksessuarlar,Аксессуары для девочек,Accessories for girls
7502,Mebel,Мебель,Furniture
6606,Bijuteriyalar,Ювелирные изделия,Jewelry
6562,Bijuteriyalar,Ювелирные изделия,Jewelry
6265,Erkaklar poyabzali,Мужская обувь,Men's shoes
10085,Qahva mashinalari va kofe qaynatgichlar,Кофемашины и кофеварки,Coffee machines and coffee makers
5619,Soatlar va elektron budilniklar,Часы и электронные будильники,Clocks and electronic alarm clocks
9269,Namoyish doskalari,Информационные стенды,Display boards
9422,Chizmachilik qurollari,Инструменты для рисования,Drawing tools
5703,Sterilizatorlar,Стерилизаторы,Sterilizers
9370,Muhr va shtamplar,Печати и штампы,Seals and stamps
9410,Maktab va o'qish uchun mahsulotlar,Товары для школы и учебы,School and study products
7288,Ovqat pishirish uchun shakllar,Формы для приготовления пищи,Forms for cooking
9302,Stol podstavkalari va tashrif qogʻozlari,Салфетки и визитки,Placemats and business cards
9349,Papkalar va fayllar,Папки и файлы,Folders and files
9322,Ofis buyumlari,Офисные принадлежности,Office supplies
7294,Suv uchun filtrlar,Фильтры для воды,Water filters
7278,Bir martali ishlatiladigan idishlar va qadoqlash,Одноразовая тара и упаковка,Disposable containers and packaging
9311,Savdo uchun uskunalar,Оборудование на продажу,Equipment for sale
7310,Vino aksessuarlari,Винные аксессуары,Wine accessories
7480,Hammom va sauna uchun mahsulotlar,Товары для бани и сауны,Products for bath and sauna
5556,Aqlli uy va xavfsizlik,Умный дом и безопасность,Smart home and security
6424,Koʻzoynak,Очки,Glasses
6383,Poyabzal aksessuarlari,Аксессуары для обуви,Shoe accessories
6446,Bosh kiyimlar,Шляпы,Hats
7435,Dekor va interyer,Декор и интерьер,Decor and interior
6189,Yangi tugʻilgan chaqaloqlar uchun kiyimlar,Одежда для новорожденных,Clothes for newborn babies
7318,Spirtli ichimliklar tayyorlash,Приготовление алкогольных напитков,Making alcoholic beverages
6533,Soyabonlar,Зонтики,Umbrellas
7107,Ortopedik buyumlar,Ортопедические изделия,Orthopedic products
7471,Xonaki o'simliklar uchun mahsulotlar,Товары для комнатных растений,Products for indoor plants
5620,Radio budilniklar,Радиобудильники,Radio alarm clocks
5800,Kofe tayyorlash,Приготовление кофе,Making coffee
5813,Desert tayyorlash uchun texnikalar,Методы приготовления десертов,Dessert making techniques
7272,Oshxona anjomlari,Кухонная утварь,Kitchen utensils
8889,Elektr skuterlar,Электросамокаты,Electric scooters
7416,Buyumlarni saqlash,Хранение вещей,Storage of items
7581,Duradgorlik-slesarlik asboblari,Инструменты для столярных и металлообрабатывающих работ,Carpentry and metalworking tools
7315,Konservalash uchun mahsulotlar,Продукты для консервирования,Products for canning
8835,Trenajorlar,Симуляторы,Simulators
8847,Mini trenajorlar,Мини-симуляторы,Mini simulators
7228,Maydalagichlar va sharbat chiqargichlar,Измельчители и соковыжималки,Grinders and juicers
7262,Oshxona aksessuarlari,Кухонные принадлежности,Kitchen accessories
9297,Kartrijlar,Картриджи,Cartridges
7083,Prezervativlar va lubrikantlar,Презервативы и лубриканты,Condoms and lubricants
7297,Ichimlik uchun aksessuarlar,Аксессуары для напитков,Beverage accessories
7028,Massaj uskunalari,Массажное оборудование,Massage equipment
7088,Optika,Оптика,Optics
5303,Kvadrokopterlar va aksessuarlar,Квадрокоптеры и аксессуары,Quadcopters and accessories
7128,Reabilitatsiya uchun mahsulotlar,Реабилитационные продукты,Rehabilitation products
7322,Toʻqimachilik,Текстиль,Textile
5253,Dok-stansiyalar,Док-станции,Docking stations
7529,Bayramlar uchun mahsulotlar,Товары для праздников,Products for the holidays
7499,Joynamozlar,Молитвенные пункты,Prayer points
5579,Foto va video texnika,Фото и видеотехника,Photo and video equipment
5622,Proyeksiya soatlari,Проекционные часы,Projection clocks
5624,Elektron budilniklar,Электронные будильники,Electronic alarm clocks
5626,Aromabudilniklar va kartridjlar,Ароматерапевтические диффузоры и картриджи,Aromatherapy diffusers and cartridges
5611,Foto va video kameralar,Фото и видеокамеры,Photo and video cameras
7193,Oshxonada tartib,Планировка кухни,Kitchen layout
7811,Akkumulyatorlar va zaryadlovchi qurilmalar,Аккумуляторы и зарядные устройства,Batteries and chargers
5357,Maʼlumotlarni saqlash,Хранение данных,Data storage
7167,Oziq-ovqat mahsulotlarini saqlash,Хранение продуктов питания,Food storage
7049,Tibbiy buyumlar va sarflov materiallari,Медицинские принадлежности и расходные материалы,Medical supplies and consumables
7202,"Krujkalar, stakanlar va bokallar","Кружки, чашки и стаканы","Mugs, cups and glasses"
5438,Optik anjomlar,Оптические устройства,Optical devices
8356,Fol ochish va ezoterika,Гадание и эзотерика,Fortune telling and esotericism
5741,Elektr ustaralar,Электробритвы,Electric razors
9546,Qushlar uchun oʻyinchoqlar va aksessuarlar,Игрушки и аксессуары для птиц,Bird toys and accessories
8406,"Pazl, mozaika va freska","Пазл, мозаика и фреска","Puzzle, mosaic and fresco"
10024,Yerga ishlov berish,Обработка почвы,Tillage
8761,Erkin og'irliklar,Свободные веса,Free weights
8440,Rasm chizish,Рисунок,Drawing
5596,Fotosuratchilar uchun uskunalar,Оборудование для фотографов,Equipment for photographers
8137,Avtosignalizatsiyalar,Автомобильные сигнализации,Car alarms
7802,Payvandlash uskunalari,Сварочное оборудование,Welding equipment
5503,Statsionar telefonlar,Стационарные телефоны,Landline phones
8650,Futbol,Футбол,Football
8114,Avtomobil uchun elektronika,Автомобильная электроника,Car electronics
7898,Salon uchun jihozlar,Оборудование салона,Salon equipment
9161,Tozalash va yuvish vositalari,Чистящие и моющие средства,Cleaning and washing products
7970,Yuk tashish,Перевозки,Shipping
5723,Apparatli kosmetologiya,Аппаратная косметология,Hardware cosmetology
5690,Namlab tozalash apparatlari,Оборудование для влажной уборки,Wet cleaning equipment
7978,Garaj va avtoservis,Гараж и автосервис,Garage and car service
6968,Shaxsiy gigiyena,Личная гигиена,Personal hygiene
8326,Aravachalar,Коляски,Strollers
7463,Guldonlar,Вазы,Vases
7884,Akkumulyatorlar va aksessuarlar,Аккумуляторы и аксессуары,Batteries and accessories
5574,Aqlli uy,Умный дом,Smart home
7638,Narvonlar va stremyankalar,Лестницы и стремянки,Ladders and stepladders
7683,To'lqinli kuchlanish himoyachilari,Сетевые фильтры,Surge protectors
7897,Aksessuarlar va jihozlar,Аксессуары и оборудование,Accessories and equipment
8682,Suzish,Плавание,Swimming
8626,Voleybol,Волейбол,Volleyball
7515,Kreslolar,Кресла,Armchairs
8762,Gantellar,Гантели,Dumbbells
6997,Intim gigiyena,Интимная гигиена,Intimate hygiene
8117,Avtomobil monitorlari,Автомобильные мониторы,Car monitors
8411,Pazllar,Пазлы,Puzzles
7644,Santexnika,Сантехника,Plumbing
7831,Rul boshqaruvi,Рулевое колесо,Steering wheel
8457,Chizmachilik toʻplamlari,Наборы для рисования,Drawing kits
7870,FM-transmitterlari,FM-передатчики,FM transmitters
7889,Oʻt oldirish simlari,Провода зажигания,Ignition wires
8081,Qoplamalar va isitgichlar,Покрытия и обогреватели,Coatings and heaters
8089,Avtomobil uchun tozalash vositalari,Средства для чистки автомобилей,Car cleaning products
8077,Vosklar va polirollar,Воски и полироли,Waxes and polishes
7926,Tyuning va tashqi bezak,Тюнинг и внешняя отделка,Tuning and exterior decoration
5971,Shortilar,Шорты,Shorts
7408,Axlat qutilari va baklari,Мусорные баки и урны,Trash cans and bins
7519,Stollar,Таблицы,Tables
9168,Idish yuvish vositalari,Средства для мытья посуды,Dishwashing detergents
7505,Tokchalar,Полки,Shelves
5456,Ofis jihozlari uchun butlovchi qismlar,Компоненты офисного оборудования,Office equipment components
7993,Avtomobil suyuqliklarini almashtirish,Замена автомобильных жидкостей,Replacing car fluids
7997,Shina oʻrnatish uskunalari,Шиномонтажное оборудование,Tire mounting equipment
8845,Skameykalar va tokchalar,Скамейки и полки,Benches and shelves
6932,Parfyumeriya,Парфюмерия,Perfumery
8147,Shinalar bosimi datchiklari,Датчики давления в шинах,Tire pressure sensors
9841,Oʻquv adabiyoti,Учебная литература,Educational literature
9716,Nobadiiy adabiyot,Документальная литература,Nonfiction
9509,Mushuklar uchun uylar va toʻshaklar,Кошачьи домики и лежанки,Cat houses and beds
6529,Qayishlar va osma kamarlar,Ремни и ремни для подвески,Straps and suspension belts
9654,Bolalarga va ota-onalarga,Для детей и родителей,For children and parents
8273,Oʻyinchoqlar va oʻyinlar,Игрушки и игры,Toys and games
10034,Hudud parvarishi,Уход за территорией,Area care
7670,Elektrika,Электричество,Electricity
7347,Gilamlar va yoʻlak gilamlari,Ковры и ковровые покрытия,Carpets and rugs
8493,Tikuvchilik,Пошив одежды,Tailoring
8507,"Rasmlar, foto ramkalar, otkritkalar yasash","Изготовление картин, фоторамок, открыток","Making pictures, photo frames, postcards"
8864,"Petlilar, narvonlar, krossfit uchun to'siqlar","Подтягивания, лестницы, препятствия для кроссфита","Loops, ladders, obstacles for crossfit"
8619,Boks va yakka kurash,Бокс и борьба,Boxing and wrestling
8852,Yoga va pilates,Йога и пилатес,Yoga and Pilates
8053,"Mototexnikalar, motoekipirovka uchun mahsulotlar","Мотоциклы, товары для мотоциклетного оборудования","Motorcycles, motorcycle equipment products"
8888,Elektr transporti,Электротранспорт,Electric transport
7527,Divanlar,Диваны,Sofas
7855,Old oyna tozalagichlar,Стеклоочистители,Windshield wipers
6873,Tirnoqlar uchun xina,Хна для ногтей,Henna for nails
5369,Sayyohlik navigatorlari,Туристические навигаторы,Tourist navigators
8605,Basketbol,Баскетбол,Basketball
7642,Multitullar,Мультитулы,Multitools
8508,Mavzuli rasmlar,Тематические картинки,Themed pictures
7845,Avtomobillar uchun chiqarish tizimi,Выхлопная система для автомобилей,Exhaust system for cars
8286,Konstruktorlar,Конструкторы,Constructors
8296,Yumshoq oʻyinchoqlar,Мягкие игрушки,Soft toys
9740,Tarix,История,History
8062,Skuterlar,Скутеры,Scooters
8157,Avtomobil uchun datchiklar,Датчики автомобиля,Car sensors
5817,Ichki kiyim,Нижнее белье,Underwear
6270,Tufli,Обувь,Shoes
9655,Bolalar uchun boʻsh vaqtlarni foydali oʻtkazish va ijod,Досуг и творчество для детей,Leisure and creativity for children
7022,Vitamin va mineral komplekslar,Витаминно-минеральные комплексы,Vitamin and mineral complexes
7847,Avtomobil ehtiyot qismlari,Автозапчасти,Car spare parts
6439,"Hamyonlar, kalit solgichlar va tashrif qogʻozi uchun karmonchalar","Кошельки, ключницы и визитницы","Wallets, key holders, and business card holders"
8897,Elektr velosipedlar,Электровелосипеды,Electric bicycles
8893,Elektr samokatlar,Электросамокаты,Electric scooters
8873,Ogʻirlashtiruvchilar,Агграваторы,Aggravators
8871,Sport majmualari va shved devorlari,Спортивные комплексы и шведские стенки,Sports complexes and Swedish walls
8891,Giroskuterlar va giroroleklar,Гироскутеры и гиророллеры,Gyroscooters and gyrorollers
8895,Elektr transport uchun aksessuarlar va ehtiyot qismlar,Аксессуары и запчасти для электромобилей,Accessories and spare parts for electric vehicles
8828,Fitnes-ovqatlanish,Фитнес-питание,Fitness-nutrition
8830,Energetiklar va izotoniklar,Энергетики и изотоники,Energetics and isotonics
8841,Stepperlar,Степперы,Steppers
8818,Sportchilar uchun ozuqalar,Питание для спортсменов,Nutrition for athletes
8843,Trenajorlar uchun aksessuarlar,Аксессуары для тренажеров,Accessories for exercise machines
8850,Fitnes gadjetlari,Фитнес-гаджеты,Fitness gadgets
8833,Sport butilkalar va sheykerlar,Спортивные бутылки и шейкеры,Sports bottles and shakers
8862,"Vazn yo'qotish uchun kiyim, kamar va yamalar","Одежда, пояса и пластыри для похудения","Weight loss clothing, belts, and patches"
8812,Maxsus preparatlar,Специальные препараты,Special preparations
8832,Sport butilkalar va sheykerlar,Спортивные бутылки и шейкеры,Sports bottles and shakers
8783,Sportchilar uchun ozuqalar,Питание для спортсменов,Nutrition for athletes
8820,Vaznni kamaytirish vositalari,Продукты для похудения,Weight loss products
8826,Sport mashgʻulotlari uchun toʻplamlar,Спортивные комплекты,Sports kits
8794,"Anabolik moddalar, testosteronlar, kuchaytirgichlar","Анаболики, тестостероны, усилители","Anabolics, testosterones, enhancers"
8784,BCAA va aminokislotalar,BCAA и аминокислоты,BCAAs and amino acids
8798,Batonchalar,Бары,Bars
8810,Sportchilar uchun ozuqalar toʻplamlar,Пищевые добавки для спортсменов,Nutritional supplements for athletes
8800,Vitaminlar va mineral komplekslar,Витамины и минеральные комплексы,Vitamins and mineral complexes
8781,Skeytbord ehtiyot qismlari va asboblari,Детали и инструменты для скейтборда,Skateboard Parts and Tools
8808,Kreatinlar,Креатины,Creatines
8777,"Kruizerlar, penni bordlar, roellerserflar","Круизеры, пенни-борды, роллерсерфы","Cruisers, penny boards, rollersurfs"
8779,Skeytbordlar,Скейтборды,Skateboards
8776,Skeytbording,Скейтбординг,Skateboarding
8805,Gaynerlar va oqsillar,Гейнеры и протеины,Gainers and proteins
8748,Rolikli konkilar uchun aksessuarlar va ehtiyot qismlar,Аксессуары и запчасти для роликовых коньков,Accessories and spare parts for roller skates
8755,Samokatlar va aksessuarlar,Скутеры и аксессуары,Scooters and accessories
8753,Samokatlar ehtiyot qismlari,Запчасти для скутеров,Scooter spare parts
8743,"Rolikli konkilar, ekipirovka va ehtiyot qismlar","Роликовые коньки, оборудование и запчасти","Roller skates, equipment and spare parts"
8750,Himoya,Защита,Protection
8757,Samokatlar aksessuarlari,Аксессуары для скутеров,Scooter accessories
8759,Samokatlar,Самокаты,Samokats
